id,hash_id,name,disease_group,disease_sub_group,status,version,version_created,relevant_disorders,stats,types
1207,,Acute intermittent porphyria,Gastrohepatology,,public,2.1,2026-05-06T16:02:21.284533Z,['R169'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1141,,Acute rhabdomyolysis,Neurology,,public,2.10,2026-05-01T08:38:58.882323Z,['R419'],"{'number_of_genes': 69, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
399,,Additional findings health related,,,public,0.116,2025-10-13T20:24:54.630497Z,[],"{'number_of_genes': 14, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
933,,Additional findings health related - adults,,,public,2.4,2025-11-23T17:57:09.843248Z,[],"{'number_of_genes': 13, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Super Panel', 'slug': 'superpanel', 'description': 'Superpanel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
929,,Additional findings health related - adult specific,,,public,1.3,2025-11-23T17:56:43.286900Z,[],"{'number_of_genes': 6, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
930,,Additional findings health related - children,,,public,1.1,2025-11-23T17:57:09.755236Z,[],"{'number_of_genes': 7, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
934,,Additional findings health related - CNV analysis adults,,,public,2.4,2025-11-23T17:58:28.102546Z,[],"{'number_of_genes': 10, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Super Panel', 'slug': 'superpanel', 'description': 'Superpanel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
931,,Additional findings health related - CNV analysis adult specific,,,public,1.3,2025-11-23T17:58:05.754366Z,[],"{'number_of_genes': 6, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
932,,Additional findings health related - CNV analysis children,,,public,1.1,2025-11-23T17:58:28.022553Z,[],"{'number_of_genes': 4, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
774,,Additional findings reproductive carrier status,,,public,1.2,2025-10-13T20:24:25.269973Z,[],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Additional Findings', 'slug': 'additional-findings', 'description': 'This is a gene panel that maybe used for additional findings.'}]"
