Gene list name:,SF_AD
Gene list ID:,5544
Number of genes:,74

Gene Name,NCBI ID
ABCD1,215
ACTA2,59
ACTC1,70
ACVRL1,94
APC,324
APOB,338
BAG3,9531
BMPR1A,657
BRCA1,672
BRCA2,675
CACNA1S,779
CALM1,801
CALM2,805
CALM3,808
COL3A1,1281
DES,1674
DSC2,1824
DSG2,1829
DSP,1832
ENG,2022
FBN1,2200
FLNC,2318
GLA,2717
HNF1A,6927
KCNH2,3757
KCNQ1,3784
LDLR,3949
LMNA,4000
MAX,4149
MEN1,4221
MLH1,4292
MSH2,4436
MSH6,2956
MYBPC3,4607
MYH11,4629
MYH7,4625
MYL2,4633
MYL3,4634
NF2,4771
OTC,5009
PALB2,79728
PCSK9,255738
PKP2,5318
PLN,5350
PMS2,5395
PRKAG2,51422
PTEN,5728
RB1,5925
RBM20,282996
RET,5979
RYR1,6261
RYR2,6262
SCN5A,6331
SDHAF2,54949
SDHB,6390
SDHC,6391
SDHD,6392
SMAD3,4088
SMAD4,4089
STK11,6794
TGFBR1,7046
TGFBR2,7048
TMEM127,55654
TMEM43,79188
TNNC1,7134
TNNI3,7137
TNNT2,7139
TP53,7157
TPM1,7168
TSC1,7248
TSC2,7249
TTR,7276
VHL,7428
WT1,7490
