Gene list name:,Ataxias
Gene list ID:,5545
Number of genes:,375

Gene Name,NCBI ID
AAAS,8086
ABCA2,20
ABCB7,22
ABHD12,26090
ACBD6,84320
ACO2,50
ADGRG1,9289
AFG3L2,10939
AGTPBP1,23287
AHI1,54806
ALDH5A1,7915
ALG1,56052
ALG11,440138
ALG12,79087
ALG14,199857
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
AMPD2,271
ANO10,55129
AP1S2,8905
AP2M1,1173
APTX,54840
ARL13B,200894
ARMC9,80210
ARSA,410
ASL,435
ATAD3A,55210
ATCAY,85300
ATG7,10533
ATM,472
ATP1A3,478
ATP2B3,492
ATP6AP1,537
ATP6V0A1,535
ATP6V0A2,23545
ATP8A2,51761
B3GALNT2,148789
B3GALT6,126792
B3GAT3,26229
B3GLCT,145173
B4GALNT1,2583
B4GALT1,2683
B4GALT7,11285
B4GAT1,11041
B9D2,80776
BBS1,582
C2CD3,26005
CA8,767
CACNA1A,773
CACNA1G,8913
CAD,790
CAMK4,814
CAMTA1,23261
CAPRIN1,4076
CASK,8573
CBY1,25776
CC2D2A,57545
CCDC88C,440193
CENPF,1063
CEP104,9731
CEP290,80184
CEP41,95681
CHMP1A,5119
CHST14,113189
CHST3,9469
CHST6,4166
CHSY1,22856
CILK1,22858
CLCN2,1181
CLN5,1203
CLN6,54982
CLP1,10978
COA7,65260
COG1,9382
COG4,25839
COG5,10466
COG6,57511
COG7,91949
COG8,84342
COQ4,51117
COQ8A,56997
COX20,116228
CP,1356
CPLANE1,65250
CRB2,286204
CRPPA,729920
CSGALNACT1,55790
CSPP1,79848
CSTB,1476
CTBP1,1487
CWF19L1,55280
CYP27A1,1593
DAGLA,747
DARS2,55157
DDHD2,23259
DDOST,1650
DDX59,83479
DHCR7,1717
DHDDS,79947
DHRSX,207063
DKC1,1736
DLG4,1742
DNAJC19,131118
DNAJC3,5611
DNAJC5,80331
DNMT1,1786
DOCK3,1795
DOLK,22845
DPAGT1,1798
DPM1,8813
DPM2,8818
DPM3,54344
DPYSL5,56896
EBF3,253738
EDEM3,80267
EIF2B1,1967
EIF2B2,8892
EIF2B3,8891
EIF2B4,8890
EIF2B5,8893
ELOVL4,6785
EOGT,285203
EPM2A,7957
EVC,2121
EVC2,132884
EXOC3L2,90332
EXOSC3,51010
EXT1,2131
EXT2,2132
FA2H,79152
FAM149B1,317662
FBXL4,26235
FCSK,197258
FDXR,2232
FEM1C,56929
FGF14,2259
FKRP,79147
FKTN,2218
FLVCR1,28982
FMR1,2332
FOLR1,2348
FRMD5,84978
FUT8,2530
FXN,2395
G6PC3,92579
GALNT2,2590
GALNT3,2591
GBA2,57704
GEMIN5,25929
GFAP,2670
GFPT1,2673
GJC2,57165
GLI3,2737
GLS,2744
GMPPA,29926
GMPPB,29925
GNE,10020
GORAB,92344
GOSR2,9570
GPAA1,8733
GRID2,2895
GRM1,2911
GRN,2896
HEXA,3073
HEXB,3074
HMBS,3145
HYLS1,219844
IFT74,80173
INPP5E,56623
INTS11,54973
IRF2BPL,64207
ITPR1,3708
KCNA1,3736
KCNA2,3737
KCNC3,3748
KCND3,3752
KCNJ10,3766
KCNN2,3781
KIAA0586,9786
KIAA0753,9851
KIF1A,547
KIF1C,10749
KIF7,374654
LAMA1,284217
LARGE1,9215
LARS2,23395
LETM1,3954
LFNG,3955
MAG,4099
MAGT1,84061
MAN1B1,11253
MAPK8IP3,23162
MARS2,92935
MGAT2,4247
MINPP1,9562
MKS1,54903
MMACHC,25974
MOGS,7841
MORC2,22880
MPDU1,9526
MPI,4351
MRE11,4361
MSTO1,55154
MT-ATP6,4508
MTCL1,23255
MTFMT,123263
MTPAP,55149
MTTP,4547
MVK,4598
NAXE,128240
NEMF,9147
NFASC,23114
NGLY1,55768
NHLRC1,378884
NKX2-1,7080
NKX6-2,84504
NPC1,4864
NPC2,10577
NPHP1,4867
NPHP3,27031
NPTX1,4884
NUS1,116150
OFD1,8481
OGDHL,55753
OPA1,4976
OPA3,80207
OPHN1,4983
PAX6,5080
PDYN,5173
PEX16,9409
PEX6,5190
PGAP2,27315
PGAP3,93210
PGM1,5236
PGM3,5238
PI4KA,5297
PIBF1,10464
PIGA,5277
PIGL,9487
PIGM,93183
PIGN,23556
PIGO,84720
PIGS,94005
PIGT,51604
PIGV,55650
PIGW,284098
PITRM1,10531
PLA2G6,8398
PMM2,5373
PMPCA,23203
PMPCB,9512
PNKP,11284
PNPLA6,10908
PNPT1,87178
POLG,5428
POLR3A,11128
POLR3B,55703
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
POU4F1,5457
PRDM13,59336
PRDX3,10935
PRKCG,5582
PRNP,5621
PRRT2,112476
PTF1A,256297
PUM1,9698
RARS2,57038
RELN,5649
RFT1,91869
RNF170,81790
RNF216,54476
RNF220,55182
ROBO3,64221
RORA,6095
RPGRIP1L,23322
RTN4IP1,84816
RXYLT1,10329
SACS,26278
SARS1,6301
SCLT1,132320
SCN1A,6323
SCN2A,6326
SCN8A,6334
SCYL1,57410
SDHA,6389
SEC23B,10483
SEPSECS,51091
SETX,23064
SIL1,64374
SLC17A5,26503
SLC1A3,6507
SLC25A46,91137
SLC2A1,6513
SLC35A1,10559
SLC35A2,7355
SLC35C1,55343
SLC35D1,23169
SLC37A4,2542
SLC39A8,64116
SLC44A1,23446
SLC52A2,79581
SLC9A1,6548
SLC9A6,10479
SNAP25,6616
SNX14,57231
SPG7,6687
SPR,6697
SPTAN1,6709
SPTBN2,6712
SQSTM1,8878
SRD5A3,79644
SSR4,6748
ST3GAL3,6487
ST3GAL5,8869
STT3A,3703
STUB1,10273
SUFU,51684
SVBP,374969
SYNE1,23345
TANGO2,128989
TBC1D23,55773
TCTN1,79600
TCTN2,79867
TCTN3,26123
TDP2,51567
TECPR2,9895
THG1L,54974
TINF2,26277
TMEM107,84314
TMEM138,51524
TMEM165,55858
TMEM216,51259
TMEM218,219854
TMEM231,79583
TMEM237,65062
TMEM240,339453
TMEM67,91147
TOE1,114034
TOGARAM1,23116
TPP1,1200
TSEN2,80746
TSEN34,79042
TSEN54,283989
TTBK2,146057
TTC19,54902
TTPA,7274
TUBA1A,7846
TUBB2B,347733
TUBB3,10381
TUBB4A,10382
TUSC3,7991
TWNK,56652
TXNDC15,79770
UBTF,7343
UCHL1,7345
VLDLR,7436
VMA12,147007
VPS13B,157680
VPS13D,55187
VPS41,27072
VRK1,7443
WDR73,84942
WDR81,124997
WFS1,7466
WWOX,51741
XRCC1,7515
XYLT1,64131
XYLT2,64132
ZSWIM6,57688
