Gene list name:,Microftalmia
Gene list ID:,5551
Number of genes:,38

Gene Name,NCBI ID
ALDH1A3,220
BCOR,54880
BMP4,652
CAPN15,6650
COL4A1,1282
COX7B,1349
FAT1,2195
FOXC1,2296
FOXE3,2301
FRAS1,80144
FREM1,158326
FREM2,341640
GRIP1,23426
HCCS,3052
KMT2D,8085
MAB21L2,10586
MFRP,83552
MYRF,745
NDUFB11,54539
OTX2,5015
PAX2,5076
PITX2,5308
PRSS56,646960
RAB18,22931
RAB3GAP1,22930
RAB3GAP2,25782
RARB,5915
RAX,30062
SHH,6469
SIX6,4990
SMO,6608
SMOC1,64093
SOX2,6657
STRA6,64220
TBC1D20,128637
TENM3,55714
TMEM98,26022
VSX2,338917
