Gene list name:,Carrier_ACMG
Gene list ID:,5552
Number of genes:,115

Gene Name,NCBI ID
ABCC8,6833
ACADM,34
ACADS,35
ACADVL,37
ADAMTS2,9509
AGA,175
AGL,178
AGXT,189
AIRE,326
ALDH3A2,224
ALDOB,229
ALPL,249
ARSA,410
ASPA,443
ASS1,445
ATM,472
ATP7B,540
BBS1,582
BBS10,79738
BCKDHA,593
BCKDHB,594
BCS1L,617
BLM,641
BTD,686
CBS,875
CFTR,1080
CHM,1121
CLN3,1201
CLN5,1203
CLN8,2055
CLRN1,7401
CNGB3,54714
COL4A4,1286
CPT1A,1374
CPT2,1376
CTNS,1497
CTSK,1513
DHCR7,1717
DHDDS,79947
DLD,1738
DPYD,1806
ELP1,8518
F11,2160
FAH,2184
FANCC,2176
FKTN,2218
FMR1,2332
G6PC1,2538
G6PD,2539
GAA,2548
GALC,2581
GALT,2592
GBA1,2629
GCDH,2639
GJB2,2706
GNE,10020
GRHPR,9380
HADHA,3030
HBA1,3039
HBA2,3040
HBB,3043
HEXA,3073
HGD,3081
HSD17B4,3295
IDUA,3425
IVD,3712
LAMA3,3909
LAMB3,3914
LAMC2,3918
MAN2B1,4125
MCOLN1,57192
MEFV,4210
MLC1,23209
MPI,4351
MPL,4352
MTTP,4547
NBN,4683
NEB,4703
NOP10,55505
NPC1,4864
NPHS1,4868
NPHS2,7827
OPA3,80207
PAH,5053
PCDH15,65217
PEX1,5189
PEX7,5191
PHGDH,26227
PKHD1,5314
PMM2,5373
POMGNT1,55624
PPT1,5538
PROP1,5626
PYGM,5837
RMRP,6023
RS1,6247
SACS,26278
SGCA,6442
SGCB,6443
SLC12A6,9990
SLC17A5,26503
SLC22A5,6584
SLC26A2,1836
SLC26A4,5172
SLC35A3,23443
SLC37A4,2542
SMN1,6606
SMN2,6607
SMPD1,6609
SUMF1,285362
TH,7054
TMEM216,51259
TPP1,1200
TTPA,7274
VPS13B,157680
