Gene list name:,Microcefalia
Gene list ID:,5553
Number of genes:,233

Gene Name,NCBI ID
ACBD6,84320
ADARB1,104
ANKLE2,23141
AP4E1,23431
ARCN1,372
ARF3,377
ARFGEF2,10564
ARPC4,10093
ASNS,440
ASPM,259266
ATP1A2,477
ATP6V0A1,535
ATP6V0C,527
ATP9A,10079
ATR,545
ATRX,546
BLM,641
BPTF,2186
BRCA2,675
BRIP1,83990
BUB1,699
BUB1B,701
CACNA2D1,781
CAMK2B,816
CAMSAP1,157922
CARS1,833
CASK,8573
CCDC88A,55704
CCND2,894
CDK5RAP2,55755
CDT1,81620
CENPF,1063
CEP135,9662
CEP152,22995
CEP55,55165
CEP57,9702
CHAMP1,283489
CHKA,1119
CIT,11113
CKAP2L,150468
CLEC16A,23274
COASY,80347
COX7B,1349
CPAP,55835
CREBBP,1387
CSNK2A1,1457
CTCF,10664
CTNNB1,1499
CTU2,348180
DDX11,1663
DHCR7,1717
DHX30,22907
DIAPH1,1729
DNA2,1763
DNMT3A,1788
DOHH,83475
DONSON,29980
DPM1,8813
DROSHA,29102
DTYMK,1841
DYNC1I1,1780
DYNC1I2,1781
DYRK1A,1859
EFTUD2,9343
EIF2S3,1968
EIF5A,1984
ERCC4,2072
ERCC6,2074
ERCC8,1161
FANCA,2175
FANCB,2187
FANCC,2176
FANCD2,2177
FANCE,2178
FANCF,2188
FANCG,2189
FANCI,55215
FANCL,55120
FBRSL1,57666
FOXG1,2290
FRA10AC1,118924
GEMIN4,50628
GINS3,64785
GMNN,51053
GPT2,84706
GRM7,2917
GTF2E2,2961
HDAC8,55869
HHAT,55733
HMGB1,3146
HNRNPR,10236
HPDL,84842
IER3IP1,51124
IGF1,3479
IGF1R,3480
INTS11,54973
KAT5,10524
KIF11,3832
KIF14,9928
KIF21B,23046
KMT2B,9757
KNL1,57082
LAGE3,8270
LARP7,51574
LIG4,3981
LMBRD2,92255
LMNB1,4001
LMNB2,84823
LSS,4047
MAST1,22983
MCPH1,79648
MECP2,4204
MED17,9440
MED25,81857
MEIS2,4212
METTL5,29081
MFSD2A,84879
MINPP1,9562
MORC2,22880
MSMO1,6307
MTHFS,10588
MYCN,4613
NAPB,63908
NARS1,4677
NBN,4683
NCAPD2,9918
NCAPD3,23310
NDE1,54820
NHEJ1,79840
NIPBL,25836
NSD2,7468
NSRP1,84081
NUP107,57122
NUP188,23511
NUP214,8021
ORC1,4998
ORC4,5000
ORC6,23594
OSGEP,55644
PCDH12,51294
PCNT,5116
PDHA1,5160
PLAA,9373
PLEKHG2,64857
PLK1,5347
PLK4,10733
PNKP,11284
POC1A,25886
POGZ,23126
POLA1,5422
PPFIBP1,8496
PPIL1,51645
PPP1R15B,84919
PQBP1,10084
PRIM1,5557
PRUNE1,58497
PTPN23,25930
PUF60,22827
PUS3,83480
PUS7,54517
PYCR2,29920
QARS1,5859
RAD21,5885
RAD50,10111
RAD51,5888
RBBP8,5932
RHOBTB2,23221
RNU4-2,26834
RNU4ATAC,100151683
RPL10,6134
RTTN,25914
SARS1,6301
SASS6,163786
SLC1A4,6509
SLC25A19,60386
SLC38A3,10991
SLC4A10,57282
SLC9A6,10479
SLF2,55719
SLX4,84464
SMARCA5,8467
SMC1A,8243
SMC3,9126
SMC5,23137
SMG8,55181
SMPD4,55627
SOX11,6664
STAG2,10735
STAMBP,10617
STIL,6491
SVBP,374969
TBCD,6904
TMEM222,84065
TMX2,51075
TNPO2,30000
TOP3A,7156
TP53RK,112858
TRAIP,10293
TRAPPC10,7109
TRAPPC12,51112
TRAPPC6B,122553
TRAPPC9,83696
TRIO,7204
TRMT10A,93587
TRRAP,8295
TSEN15,116461
TSEN54,283989
TTC5,91875
TTI1,9675
TUBG1,7283
TUBGCP2,10844
TUBGCP4,27229
TUBGCP6,85378
UBA5,79876
UFC1,51506
UFM1,51569
UGP2,7360
UNC80,285175
VARS1,7407
VRK1,7443
WDFY3,23001
WDR11,55717
WDR37,22884
WDR4,10785
WDR62,284403
WDR73,84942
WLS,79971
XRCC4,7518
YIPF5,81555
ZEB2,9839
ZMIZ1,57178
ZNF335,63925
ZNF526,116115
