Gene list name:,Leucodistrofias
Gene list ID:,5556
Number of genes:,35

Gene Name,NCBI ID
ABCD1,215
ACBD5,91452
ACER3,55331
AIFM1,9131
AIMP1,9255
ARSA,410
CLDN11,5010
DEGS1,8560
GALC,2581
GFAP,2670
GJC2,57165
HIKESHI,51501
HSPD1,3329
HYCC1,84668
MAL,4118
NKX6-2,84504
PEX10,5192
PEX13,5194
PEX5,5830
PLEKHG2,64857
PLP1,5354
POLR1C,9533
POLR3A,11128
POLR3B,55703
PSAP,5660
PYCR2,29920
RARS1,5917
SOX10,6663
TMEM106B,54664
TMEM163,81615
TMEM63A,9725
TREX1,11277
TUBB4A,10382
UFM1,51569
VPS11,55823
