Gene list name:,Leigh
Gene list ID:,5558
Number of genes:,103

Gene Name,NCBI ID
ADAR,103
AIFM1,9131
BCS1L,617
BTD,686
CLPB,81570
COQ9,57017
COX10,1352
COX15,1355
COX4I1,1327
COXFA4,4697
DLAT,1737
DLD,1738
DNM1L,10059
EARS2,124454
ECHS1,1892
ETHE1,23474
FARS2,10667
FBXL4,26235
FOXRED1,55572
GFM1,85476
GFM2,84340
GTPBP3,84705
HIBCH,26275
IARS2,55699
LIAS,11019
LIPT1,51601
LONP1,9361
LRPPRC,10128
MECR,51102
MFF,56947
MORC2,22880
MRPS34,65993
MT-ATP6,4508
MT-CO1,4512
MT-CO2,4513
MT-CO3,4514
MT-ND1,4535
MT-ND2,4536
MT-ND3,4537
MT-ND4,4538
MT-ND5,4540
MT-ND6,4541
MT-TI,4565
MT-TK,4566
MT-TL1,4567
MT-TL2,4568
MT-TW,4578
MTFMT,123263
MTRFR,91574
NARS2,79731
NAXE,128240
NDUFA1,4694
NDUFA10,4705
NDUFA12,55967
NDUFA13,51079
NDUFA2,4695
NDUFA9,4704
NDUFAF2,91942
NDUFAF4,29078
NDUFAF5,79133
NDUFAF6,137682
NDUFAF8,284184
NDUFB8,4714
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV2,4729
NUBPL,80224
OPA1,4976
PDHA1,5160
PDHB,5162
PDHX,8050
PDSS2,57107
PET100,100131801
PNPT1,87178
POLG,5428
PTCD3,55037
RNASEH1,246243
SCO2,9997
SDHA,6389
SDHAF1,644096
SERAC1,84947
SLC19A3,80704
SLC25A19,60386
SLC25A4,291
SLC25A46,91137
SLC39A8,64116
SSBP1,6742
SUCLA2,8803
SUCLG1,8802
SURF1,6834
TACO1,51204
TARS2,80222
TIMMDC1,51300
TPK1,27010
TRMU,55687
TSFM,10102
TTC19,54902
