Gene list name:,Deficiencia Intelectual Heranca AD SD e X
Gene list ID:,5559
Number of genes:,666

Gene Name,NCBI ID
ABCD1,215
ACO2,50
ACSL4,2182
ACTB,60
ACTG1,71
ACTL6A,86
ACTL6B,51412
ADAR,103
ADD1,118
ADGRL1,22859
ADNP,23394
AFF2,2334
AFF3,3899
AFF4,27125
AGO1,26523
AGO2,27161
AHDC1,27245
AIFM1,9131
AKT3,10000
ALDH18A1,5832
ALG13,79868
AMER1,139285
ANK2,287
ANK3,288
ANKRD11,29123
ANKRD17,26057
ANO4,121601
AP1G1,164
AP1S2,8905
AP2M1,1173
ARCN1,372
ARF1,375
ARF3,377
ARFGEF1,10565
ARHGEF9,23229
ARID1A,8289
ARID1B,57492
ARID2,196528
ARSL,415
ARX,170302
ASH1L,55870
ASXL1,171023
ASXL2,55252
ASXL3,80816
ATAD3A,55210
ATN1,1822
ATP1A1,476
ATP1A2,477
ATP1A3,478
ATP2B1,490
ATP6AP2,10159
ATP6V0A1,535
ATP6V0C,527
ATP6V1A,523
ATP6V1B2,526
ATP7A,538
ATRX,546
ATXN7L3,56970
AUTS2,26053
BAP1,8314
BAZ2B,29994
BCAP31,10134
BCL11A,53335
BCL11B,64919
BCOR,54880
BICRA,29998
BMP4,652
BPTF,2186
BRAF,673
BRD4,23476
BRPF1,7862
BRSK2,9024
BRWD3,254065
CACNA1A,773
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA1G,8913
CACNA1I,8911
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK4,814
CAMTA1,23261
CAPRIN1,4076
CASK,8573
CBL,867
CCDC22,28952
CCND2,894
CDC42,998
CDH2,1000
CDK13,8621
CDK16,5127
CDK19,23097
CDK8,1024
CDKL5,6792
CDON,50937
CELF2,10659
CEP85L,387119
CERT1,10087
CHAMP1,283489
CHASERR,100507217
CHD2,1106
CHD3,1107
CHD4,1108
CHD5,26038
CHD7,55636
CHD8,57680
CIC,23152
CLCN3,1182
CLCN4,1183
CLCN6,1185
CLDN11,5010
CLDN5,7122
CLPB,81570
CLTC,1213
CNKSR2,22866
CNNM2,54805
CNOT1,23019
CNOT2,4848
CNOT3,4849
CNOT9,9125
COL4A1,1282
COL4A2,1284
COPB2,9276
CREBBP,1387
CSDE1,7812
CSNK1G1,53944
CSNK2A1,1457
CSNK2B,1460
CTBP1,1487
CTCF,10664
CTNNB1,1499
CTNND1,1500
CTR9,9646
CUL3,8452
CUL4B,8450
CUX1,1523
CUX2,23316
CYFIP2,26999
DAGLA,747
DCX,1641
DDB1,1642
DDX17,10521
DDX23,9416
DDX3X,1654
DDX6,1656
DEAF1,10522
DENND5B,160518
DEPDC5,9681
DHDDS,79947
DHX30,22907
DHX9,1660
DKC1,1736
DLG3,1741
DLG4,1742
DLL1,28514
DMD,1756
DMPK,1760
DNM1,1759
DNM1L,10059
DNMT3A,1788
DOCK4,9732
DPF2,5977
DPYSL5,56896
DYNC1H1,1778
DYRK1A,1859
EBF3,253738
EBP,10682
EED,8726
EEF1A2,1917
EFTUD2,9343
EHMT1,79813
EIF2AK2,5610
EIF2S3,1968
EIF4A2,1974
EIF5A,1984
EMC1,23065
EMX2,2018
EP300,2033
ERBB4,2066
EZH1,2145
EZH2,2146
FAM50A,9130
FAR1,84188
FBRSL1,57666
FBXO11,80204
FBXO28,23219
FBXO31,79791
FBXW11,23291
FBXW7,55294
FEM1B,10116
FGD1,2245
FGF12,2257
FMR1,2332
FOSL2,2355
FOXG1,2290
FOXP1,27086
FOXP2,93986
FRMD5,84978
FRMPD4,9758
FTSJ1,24140
FZR1,51343
GABBR2,9568
GABRA1,2554
GABRA2,2555
GABRA5,2558
GABRB2,2561
GABRB3,2562
GABRD,2563
GABRG2,2566
GATAD2B,57459
GCH1,2643
GDI1,2664
GFAP,2670
GK,2710
GLI2,2736
GLRA2,2742
GNAI1,2770
GNAI2,2771
GNAO1,2775
GNAS,2778
GNB1,2782
GNB2,2783
GPC3,2719
GPC4,2239
GRIA1,2890
GRIA2,2891
GRIA3,2892
GRIA4,2893
GRIK2,2898
GRIN1,2902
GRIN2A,2903
GRIN2B,2904
GRIN2D,2906
H1-4,3008
H3-3A,3020
H3-3B,3021
H4C3,8364
H4C5,8367
HCCS,3052
HCFC1,3054
HCN1,348980
HDAC3,8841
HDAC4,9759
HDAC8,55869
HECW2,57520
HEPACAM,220296
HESX1,8820
HIVEP2,3097
HK1,3098
HMGB1,3146
HNRNPH1,3187
HNRNPH2,3188
HNRNPK,3190
HNRNPR,10236
HNRNPU,3192
HPD,3242
HPRT1,3251
HRAS,3265
HSD17B10,3028
HUWE1,10075
IDH2,3418
IDS,3423
IFIH1,64135
IKBKG,8517
IL1RAPL1,11141
IMPDH2,3615
IQSEC2,23096
IRF2BPL,64207
ITPR1,3708
ITSN1,6453
JARID2,3720
KANSL1,284058
KAT5,10524
KAT6A,7994
KAT6B,23522
KAT8,84148
KCNA2,3737
KCNA3,3738
KCNB1,3745
KCNB2,9312
KCNC1,3746
KCND2,3751
KCNH1,3756
KCNH5,27133
KCNJ11,3767
KCNJ6,3763
KCNK3,3777
KCNK9,51305
KCNMA1,3778
KCNN2,3781
KCNN3,3782
KCNQ2,3785
KCNQ3,3786
KCNQ5,56479
KCNT1,57582
KCNT2,343450
KDM1A,23028
KDM2B,84678
KDM3B,51780
KDM4B,23030
KDM5A,5927
KDM5B,10765
KDM5C,8242
KDM6A,7403
KDM6B,23135
KIDINS220,57498
KIF11,3832
KIF1A,547
KIF21B,23046
KIF2A,3796
KIF4A,24137
KIF5A,3798
KIF5C,3800
KIRREL3,84623
KLF7,8609
KLHL20,27252
KMT2A,4297
KMT2B,9757
KMT2C,58508
KMT2D,8085
KMT2E,55904
KMT5B,51111
KRAS,3845
L1CAM,3897
LAMP2,3920
LHX2,9355
LMBRD2,92255
LMNB1,4001
LRRC7,57554
LZTR1,8216
MAB21L2,10586
MACF1,23499
MAF,4094
MAGEL2,54551
MAOA,4128
MAP1B,4131
MAP2K1,5604
MAP2K2,5605
MAPK1,5594
MAPK8IP3,23162
MAPRE2,10982
MARK2,2011
MAST1,22983
MAST3,23031
MAST4,375449
MAT1A,4143
MBD5,55777
MBTPS2,51360
MECP2,4204
MED12,9968
MED13,9969
MED13L,23389
MEF2C,4208
MEIS2,4212
MID1,4281
MN1,4330
MORC2,22880
MSL2,55167
MSL3,10943
MTOR,2475
MTSS2,92154
MYCN,4613
MYH10,4628
MYT1L,23040
NAA10,8260
NAA15,80155
NACC1,112939
NALCN,259232
NARS1,4677
NBEA,26960
NCDN,23154
NCKAP1,10787
NDP,4693
NDUFA1,4694
NEDD4L,23327
NEUROD2,4761
NEXMIF,340533
NF1,4763
NFIA,4774
NFIX,4784
NHS,4810
NIPBL,25836
NKAP,79576
NKX2-1,7080
NLGN3,54413
NONO,4841
NOVA2,4858
NR2F1,7025
NR2F2,7026
NR4A2,4929
NRAS,4893
NRXN1,9378
NSD1,64324
NSD2,7468
NSDHL,50814
NTRK2,4915
NUS1,116150
OCRL,4952
ODC1,4953
OFD1,8481
OGT,8473
OPHN1,4983
OTC,5009
OTUD5,55593
OTX2,5015
PABPC1,26986
PACS1,55690
PACS2,23241
PAFAH1B1,5048
PAK1,5058
PAK3,5063
PALS1,64398
PAX8,7849
PBX1,5087
PCDH19,57526
PCGF2,7703
PDE4D,5144
PDGFRB,5159
PDHA1,5160
PEX6,5190
PGK1,5230
PHACTR1,221692
PHF21A,51317
PHF6,84295
PHF8,23133
PHIP,55023
PIGA,5277
PIK3CA,5290
PIK3R2,5296
PIP5K1C,23396
PLP1,5354
PLXNA1,5361
POGZ,23126
POLA1,5422
POLR2A,5430
POLR3B,55703
POLRMT,5442
PORCN,64840
POU3F2,5454
POU3F3,5455
PPM1D,8493
PPP1CB,5500
PPP1R12A,4659
PPP1R3F,89801
PPP2CA,5515
PPP2R1A,5518
PPP2R5D,5528
PPP3CA,5530
PQBP1,10084
PRICKLE2,166336
PRKAR1B,5575
PRPF8,10594
PRPS1,5631
PRR12,57479
PSMC3,5702
PSMC5,5705
PSMD12,5718
PTCH1,5727
PTCHD1,139411
PTDSS1,9791
PTEN,5728
PTPN11,5781
PTPN4,5775
PUF60,22827
PUM1,9698
PURA,5813
QRICH1,54870
RAB11A,8766
RAB11B,9230
RAB39B,116442
RAB5C,5878
RAC1,5879
RAC3,5881
RAD21,5885
RAF1,5894
RAI1,10743
RALA,5898
RAP1B,5908
RARB,5915
RBBP5,5929
RBM10,8241
RELN,5649
RERE,473
RFX3,5991
RFX4,5992
RFX7,64864
RHOBTB2,23221
RIT1,6016
RLIM,51132
RNF113A,7737
RNF125,54941
RNF13,11342
RNU4-2,26834
RORA,6095
RPL10,6134
RPS6KA3,6197
SAMD9,54809
SATB1,6304
SATB2,23314
SCAF4,57466
SCAMP5,192683
SCN1A,6323
SCN2A,6326
SCN3A,6328
SCN8A,6334
SEMA6B,10501
SEPHS1,22929
SET,6418
SETBP1,26040
SETD1A,9739
SETD1B,23067
SETD2,29072
SETD5,55209
SHANK1,50944
SHANK2,22941
SHANK3,85358
SHH,6469
SHOC2,8036
SIAH1,6477
SIK1,150094
SIN3A,25942
SIN3B,23309
SIX3,6496
SKI,6497
SLC12A2,6558
SLC16A2,6567
SLC1A2,6506
SLC2A1,6513
SLC32A1,140679
SLC35A2,7355
SLC6A1,6529
SLC6A8,6535
SLC9A6,10479
SMAD4,4089
SMARCA2,6595
SMARCA4,6597
