Gene list name:,Joubert
Gene list ID:,5560
Number of genes:,36

Gene Name,NCBI ID
AHI1,54806
ARL13B,200894
ARL3,403
ARMC9,80210
B9D1,27077
B9D2,80776
C2CD3,26005
CC2D2A,57545
CEP104,9731
CEP120,153241
CEP290,80184
CEP41,95681
CPLANE1,65250
CSPP1,79848
FAM149B1,317662
IFT74,80173
INPP5E,56623
KIAA0586,9786
KIAA0753,9851
KIF7,374654
MKS1,54903
NPHP1,4867
OFD1,8481
PIBF1,10464
RPGRIP1L,23322
SUFU,51684
TCTN1,79600
TCTN2,79867
TCTN3,26123
TMEM107,84314
TMEM138,51524
TMEM216,51259
TMEM218,219854
TMEM237,65062
TMEM67,91147
TOGARAM1,23116
