Gene list name:,Deficiencia Intelectual Heranca AR
Gene list ID:,5561
Number of genes:,796

Gene Name,NCBI ID
AAAS,8086
AARS1,16
AASS,10157
ABAT,18
ABCA2,20
ABCC9,10060
ABCD4,5826
ABHD16A,7920
ABHD5,51099
ACACA,31
ACAD9,28976
ACADM,34
ACADS,35
ACBD6,84320
ACER3,55331
ACOX1,51
ACY1,95
ADAM22,53616
ADARB1,104
ADAT3,113179
ADD3,120
ADGRG1,9289
ADK,132
ADSL,158
AFG2A,166378
AFG2B,79029
AGA,175
AGTPBP1,23287
AHCY,191
AHI1,54806
AIMP1,9255
ALDH3A2,224
ALDH4A1,8659
ALDH5A1,7915
ALDH7A1,501
ALG1,56052
ALG11,440138
ALG12,79087
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
ALKBH8,91801
ALMS1,7840
AMPD2,271
AMT,275
AP1S1,1174
AP3B1,8546
AP3B2,8120
AP4B1,10717
AP4E1,23431
AP4M1,9179
AP4S1,11154
APC2,10297
ARFGEF2,10564
ARG1,383
ARL13B,200894
ARL6,84100
ARMC9,80210
ARSA,410
ARSB,411
ARV1,64801
ASAH1,427
ASL,435
ASNS,440
ASPA,443
ASPM,259266
ASS1,445
ATAD1,84896
ATG101,60673
ATG7,10533
ATIC,471
ATM,472
ATP13A2,23400
ATP6V0A2,23545
ATP8A2,51761
ATP9A,10079
ATR,545
AUH,549
B3GALNT2,148789
B3GLCT,145173
B4GALNT1,2583
B4GALT7,11285
B9D1,27077
B9D2,80776
BBS1,582
BBS10,79738
BBS12,166379
BBS2,583
BBS4,585
BBS5,129880
BBS7,55212
BBS9,27241
BCAS3,54828
BCKDHA,593
BCKDHB,594
BCKDK,10295
BCS1L,617
BLM,641
BLOC1S1,2647
BLTP1,84162
BOLA3,388962
BORCS8,729991
BRAT1,221927
BRF1,2972
BSCL2,26580
BTD,686
BUB1,699
BUB1B,701
C12orf42-AS1,101929058
C12orf57,113246
C2CD3,26005
C2orf69,205327
CA2,760
CA8,767
CACNA1B,774
CACNA2D1,781
CAD,790
CAMSAP1,157922
CAPN15,6650
CARS1,833
CASP2,835
CBS,875
CC2D1A,54862
CC2D2A,57545
CCBE1,147372
CCDC32,90416
CCDC47,57003
CCDC82,79780
CCDC88A,55704
CCDC88C,440193
CDC6,990
CDH11,1009
CDK10,8558
CDK5RAP2,55755
CENPF,1063
CEP104,9731
CEP120,153241
CEP135,9662
CEP152,22995
CEP290,80184
CEP41,95681
CEP55,55165
CEP57,9702
CEP83,51134
CHKA,1119
CHKB,1120
CHMP1A,5119
CIAO1,9391
CIT,11113
CKAP2L,150468
CLEC16A,23274
CLN3,1201
CLN5,1203
CLN6,54982
CLN8,2055
CLP1,10978
CNTNAP1,8506
CNTNAP2,26047
COA8,84334
COASY,80347
COG1,9382
COG4,25839
COG5,10466
COG6,57511
COG7,91949
COG8,84342
COLEC11,78989
COQ4,51117
COQ8A,56997
COX10,1352
COX11,1353
COX15,1355
CPAP,55835
CPE,1363
CPLANE1,65250
CPLX1,10815
CPS1,1373
CRADD,8738
CRB2,286204
CRELD1,78987
CRPPA,729920
CSPP1,79848
CSTB,1476
CTDP1,9150
CTNNA2,1496
CTSA,5476
CTSD,1509
CTU2,348180
CWC27,10283
CWF19L1,55280
CYB5R3,1727
CYC1,1537
D2HGDH,728294
DAG1,1605
DARS1,1615
DARS2,55157
DBT,1629
DCAF17,80067
DCHS1,8642
DCPS,28960
DDC,1644
DDHD2,23259
DDX11,1663
DDX59,83479
DEGS1,8560
DHCR24,1718
DHCR7,1717
DHFR,1719
DHPS,1725
DHRSX,207063
DHTKD1,55526
DHX37,57647
DIAPH1,1729
DIS3L2,129563
DLD,1738
DMXL2,23312
DNAJC12,56521
DNAJC19,131118
DNMT3B,1789
DOCK3,1795
DOCK6,57572
DOCK7,85440
DOHH,83475
DOLK,22845
DPAGT1,1798
DPH1,1801
DPH5,51611
DPM1,8813
DPM2,8818
DPYD,1806
DPYS,1807
DTYMK,1841
DYM,54808
EARS2,124454
EDEM3,80267
EIF2AK3,9451
EIF3F,8665
EIF4A3,9775
ELAC2,60528
ELOVL4,6785
ELP2,55250
EMC10,284361
EML1,2009
ENTPD1,953
EPG5,57724
ERCC1,2067
ERCC2,2068
ERCC3,2071
ERCC5,2073
ERCC6,2074
ERCC6L2,375748
ERCC8,1161
ERI1,90459
ERLIN2,11160
ESAM,90952
ESCO2,157570
ETFA,2108
ETFB,2109
ETFDH,2110
ETHE1,23474
EXOSC3,51010
EXT2,2132
EXTL3,2137
FAM177A1,283635
FAM20C,56975
FARS2,10667
FARSA,2193
FAT4,79633
FBXL3,26224
FBXL4,26235
FCSK,197258
FERRY3,57102
FH,2271
FIBP,9158
FIG4,9896
FILIP1,27145
FKRP,79147
FKTN,2218
FLVCR2,55640
FMN2,56776
FOLR1,2348
FOXRED1,55572
FRA10AC1,118924
FTCD,10841
FUCA1,2517
FUT8,2530
GAD1,2571
GALC,2581
GALE,2582
GALNT2,2590
GALT,2592
GAMT,2593
GAN,8139
GATM,2628
GCDH,2639
GCSH,2653
GEMIN4,50628
GEMIN5,25929
GFER,2671
GFM1,85476
GJC2,57165
GLB1,2720
GLDC,2731
GLIS3,169792
GLUL,2752
GLYCTK,132158
GM2A,2760
GMPPA,29926
GMPPB,29925
GNB5,10681
GNPAT,8443
GNPTAB,79158
GNPTG,84572
GNS,2799
