Gene list name:,Hipotonia Heranca AR
Gene list ID:,5562
Number of genes:,1182

Gene Name,NCBI ID
AAAS,8086
AARS1,16
AARS2,57505
AASS,10157
ABAT,18
ABCA1,19
ABCA2,20
ABCB11,8647
ABCC9,10060
ABCD4,5826
ABCG5,64240
ABCG8,64241
ABHD12,26090
ABHD16A,7920
ABHD5,51099
ACACA,31
ACAD8,27034
ACAD9,28976
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAT1,38
ACBD6,84320
ACER3,55331
ACOX1,51
ACSF3,197322
ACY1,95
ADA,100
ADAM22,53616
ADARB1,104
ADAT3,113179
ADD3,120
ADGRG1,9289
ADK,132
ADSL,158
ADSS1,122622
AFG2A,166378
AFG2B,79029
AGA,175
AGK,55750
AGL,178
AGPS,8540
AGRN,375790
AGTPBP1,23287
AGXT,189
AHCY,191
AHI1,54806
AIMP1,9255
AKR1D1,6718
ALAD,210
ALDH3A2,224
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDOA,226
ALDOB,229
ALG1,56052
ALG11,440138
ALG12,79087
ALG14,199857
ALG2,85365
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
ALKBH8,91801
ALMS1,7840
AMACR,23600
AMN,81693
AMPD1,270
AMPD2,271
AMT,275
ANO10,55129
ANO5,203859
AP1S1,1174
AP3B1,8546
AP3B2,8120
AP4B1,10717
AP4E1,23431
AP4M1,9179
AP4S1,11154
APC2,10297
APOC2,344
APRT,353
APTX,54840
ARFGEF2,10564
ARG1,383
ARL13B,200894
ARL6,84100
ARMC9,80210
ARSA,410
ARSB,411
ARSG,22901
ARSK,153642
ARV1,64801
ASAH1,427
ASCC1,51008
ASCC3,10973
ASL,435
ASNS,440
ASPA,443
ASPM,259266
ASS1,445
ATAD1,84896
ATG101,60673
ATG7,10533
ATIC,471
ATM,472
ATP13A2,23400
ATP5F1D,513
ATP5F1E,514
ATP5PO,539
ATP6V0A2,23545
ATP7B,540
ATP8A2,51761
ATP9A,10079
ATPAF2,91647
ATR,545
AUH,549
B3GALNT2,148789
B3GALT6,126792
B3GAT3,26229
B3GLCT,145173
B4GALNT1,2583
B4GALT1,2683
B4GALT7,11285
B4GAT1,11041
B9D1,27077
B9D2,80776
BAAT,570
BBS1,582
BBS10,79738
BBS12,166379
BBS2,583
BBS4,585
BBS5,129880
BBS7,55212
BBS9,27241
BCAS3,54828
BCAT2,587
BCKDHA,593
BCKDHB,594
BCKDK,10295
BCS1L,617
BET1,10282
BIN1,274
BLM,641
BLOC1S1,2647
BLTP1,84162
BOLA3,388962
BORCS8,729991
BRAT1,221927
BRF1,2972
BSCL2,26580
BTD,686
BUB1,699
BUB1B,701
C12orf57,113246
C1QBP,708
C2CD3,26005
C2orf69,205327
