Gene list name:,Disturbios da glicosilacao
Gene list ID:,5563
Number of genes:,102

Gene Name,NCBI ID
ALG1,56052
ALG11,440138
ALG12,79087
ALG14,199857
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
ATP6AP1,537
ATP6V0A2,23545
B3GALNT2,148789
B3GALT6,126792
B3GAT3,26229
B3GLCT,145173
B4GALNT1,2583
B4GALT1,2683
B4GALT7,11285
CHST14,113189
CHST3,9469
CHST6,4166
CHSY1,22856
COG1,9382
COG4,25839
COG5,10466
COG6,57511
COG7,91949
COG8,84342
CRPPA,729920
CSGALNACT1,55790
DDOST,1650
DHRSX,207063
DOLK,22845
DPAGT1,1798
DPM1,8813
DPM2,8818
DPM3,54344
EDEM3,80267
EOGT,285203
EXT1,2131
EXT2,2132
FCSK,197258
FKRP,79147
FKTN,2218
FUT8,2530
G6PC3,92579
GALNT2,2590
GALNT3,2591
GFPT1,2673
GMPPA,29926
GMPPB,29925
GNE,10020
GORAB,92344
LARGE1,9215
LFNG,3955
MAGT1,84061
MAN1B1,11253
MAN2C1,4123
MGAT2,4247
MOGS,7841
MPDU1,9526
MPI,4351
NGLY1,55768
NUS1,116150
PGAP2,27315
PGAP3,93210
PGM1,5236
PGM3,5238
PIGA,5277
PIGL,9487
PIGM,93183
PIGN,23556
PIGO,84720
PIGS,94005
PIGT,51604
PIGV,55650
PIGW,284098
PMM2,5373
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
RFT1,91869
RXYLT1,10329
SEC23B,10483
SLC35A1,10559
SLC35A2,7355
SLC35C1,55343
SLC35D1,23169
SLC37A4,2542
SLC39A8,64116
SRD5A3,79644
SSR4,6748
ST3GAL3,6487
ST3GAL5,8869
STT3A,3703
TMEM165,55858
TUSC3,7991
VMA12,147007
VMA22,84317
XYLT1,64131
XYLT2,64132
