Gene list name:,Disturbios lisossomais
Gene list ID:,5565
Number of genes:,59

Gene Name,NCBI ID
AGA,175
ARSA,410
ARSB,411
ARSG,22901
ARSK,153642
ASAH1,427
ATP13A2,23400
CLN3,1201
CLN5,1203
CLN6,54982
CLN8,2055
CTNS,1497
CTSA,5476
CTSD,1509
CTSF,8722
CTSK,1513
DNAJC5,80331
FUCA1,2517
GAA,2548
GALC,2581
GALNS,2588
GBA1,2629
GLA,2717
GLB1,2720
GM2A,2760
GNE,10020
GNPTAB,79158
GNPTG,84572
GNS,2799
GRN,2896
GUSB,2990
HEXA,3073
HEXB,3074
HGSNAT,138050
HYAL1,3373
IDS,3423
IDUA,3425
KCTD7,154881
LAMP2,3920
LIPA,3988
MAN2B1,4125
MANBA,4126
MCOLN1,57192
MFSD8,256471
NAGA,4668
NAGLU,4669
NEU1,4758
NPC1,4864
NPC2,10577
PPT1,5538
PSAP,5660
SGSH,6448
SLC17A5,26503
SLC35A1,10559
SMPD1,6609
SUMF1,285362
TPP1,1200
VPS16,64601
VPS33A,65082
