Gene list name:,Hidrocefalia
Gene list ID:,5566
Number of genes:,76

Gene Name,NCBI ID
AKT3,10000
AP1S2,8905
ARSB,411
B3GALNT2,148789
B3GLCT,145173
B4GAT1,11041
BLTP1,84162
BUB1B,701
CC2D2A,57545
CCDC88C,440193
CCND2,894
CENPF,1063
CEP83,51134
COL4A1,1282
CRB2,286204
CRPPA,729920
DAG1,1605
DENND5A,23258
DHCR24,1718
EEF2,1938
EML1,2009
FAM20C,56975
FANCB,2187
FGFR1,2260
FGFR2,2263
FGFR3,2261
FKRP,79147
FKTN,2218
FLVCR2,55640
GFAP,2670
GLI3,2737
GPSM2,29899
GUSB,2990
HYLS1,219844
IDS,3423
KIAA0586,9786
KIDINS220,57498
L1CAM,3897
LAMB1,3912
LARGE1,9215
MACO1,55219
MAN2B1,4125
MPDZ,8777
NF1,4763
NSD1,64324
OSTM1,28962
PIK3CA,5290
PIK3R2,5296
PLG,5340
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
PPP2R5D,5528
PTCH1,5727
PTEN,5728
RNF125,54941
RPS6KA3,6197
SKI,6497
SMARCC1,6599
SNX10,29887
STRADA,92335
SUFU,51684
SUMF1,285362
TBC1D32,221322
TCF12,6938
TCIRG1,10312
TNFRSF11A,8792
TRIM71,131405
TWIST1,7291
USP9X,8239
WASHC5,9897
ZBTB20,26137
ZIC2,7546
ZIC3,7547
