Gene list name:,Disturbios mitocondriais
Gene list ID:,5567
Number of genes:,299

Gene Name,NCBI ID
AARS2,57505
ABAT,18
ABCB7,22
ACAD9,28976
ACADM,34
ACADVL,37
ACO2,50
AFG3L2,10939
AGK,55750
AIFM1,9131
APTX,54840
ATAD3A,55210
ATP5F1A,498
ATP5F1D,513
ATP5F1E,514
ATPAF2,91647
BCS1L,617
BOLA3,388962
C1QBP,708
C2orf69,205327
CA5A,763
CARS2,79587
CHCHD10,400916
CLPB,81570
CLPP,8192
COA6,388753
COA7,65260
COA8,84334
COQ2,27235
COQ4,51117
COQ6,51004
COQ7,10229
COQ8A,56997
COQ8B,79934
COQ9,57017
COX10,1352
COX11,1353
COX14,84987
COX15,1355
COX20,116228
COX5A,9377
COX6A1,1337
COX6A2,1339
COX6B1,1340
COX7B,1349
CRLS1,54675
CYC1,1537
CYCS,54205
DARS2,55157
DGUOK,1716
DLAT,1737
DLD,1738
DNA2,1763
DNAJC19,131118
DNM1L,10059
DNM2,1785
DYM,54808
EARS2,124454
ECHS1,1892
ELAC2,60528
ETFDH,2110
ETHE1,23474
FARS2,10667
FASTKD2,22868
FBXL4,26235
FDX2,112812
FDXR,2232
FH,2271
FLAD1,80308
FOXRED1,55572
GATM,2628
GCSH,2653
GDAP1,54332
GFER,2671
GFM1,85476
GFM2,84340
GLRX5,51218
GTPBP3,84705
HADHA,3030
HADHB,3032
HARS2,23438
HCCS,3052
HIBCH,26275
HLCS,3141
HOGA1,112817
HPDL,84842
HSD17B10,3028
HSPD1,3329
HTRA2,27429
IARS2,55699
IBA57,200205
IDH2,3418
IDH3A,3419
ISCA1,81689
ISCA2,122961
ISCU,23479
LARS2,23395
LETM1,3954
LIAS,11019
LIG3,3980
LIPT1,51601
LIPT2,387787
LONP1,9361
LRPPRC,10128
LYRM4,57128
LYRM7,90624
MARS2,92935
MDH2,4191
MECR,51102
MFF,56947
MFN2,9927
MGME1,92667
MICU1,10367
MIPEP,4285
MPC1,51660
MPV17,4358
MRM2,29960
MRPL3,11222
MRPL39,54148
MRPL44,65080
MRPS2,51116
MRPS22,56945
MRPS34,65993
MSTO1,55154
MT-ATP6,4508
MT-ATP8,4509
MT-CO1,4512
MT-CO2,4513
MT-CO3,4514
MT-CYB,4519
MT-ND1,4535
MT-ND2,4536
MT-ND3,4537
MT-ND4,4538
MT-ND4L,4539
MT-ND5,4540
MT-ND6,4541
MT-RNR1,4549
MT-TA,4553
MT-TC,4511
MT-TD,4555
MT-TE,4556
MT-TF,4558
MT-TG,4563
MT-TH,4564
MT-TI,4565
MT-TK,4566
MT-TL1,4567
MT-TL2,4568
MT-TM,4569
MT-TN,4570
MT-TP,4571
MT-TQ,4572
MT-TR,4573
MT-TS1,4574
MT-TS2,4575
MT-TT,4576
MT-TV,4577
MT-TW,4578
MT-TY,4579
MTFMT,123263
MTO1,25821
MTPAP,55149
NADK2,133686
NARS2,79731
NAXD,55739
NAXE,128240
NDUFA1,4694
NDUFA10,4705
NDUFA11,126328
NDUFA12,55967
NDUFA13,51079
NDUFA2,4695
NDUFA6,4700
NDUFA8,4702
NDUFA9,4704
NDUFAF1,51103
NDUFAF2,91942
NDUFAF3,25915
NDUFAF4,29078
NDUFAF5,79133
NDUFAF6,137682
NDUFAF8,284184
NDUFB10,4716
NDUFB11,54539
NDUFB3,4709
NDUFB8,4714
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS6,4726
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV2,4729
NFS1,9054
NFU1,27247
NSUN3,63899
NUBPL,80224
OPA1,4976
OPA3,80207
OXCT1,5019
PANK2,80025
PARS2,25973
PC,5091
PDHA1,5160
PDHB,5162
PDHX,8050
PDP1,54704
PDSS1,23590
PDSS2,57107
PET100,100131801
PITRM1,10531
PLA2G6,8398
PMPCA,23203
PMPCB,9512
PNPLA8,50640
PNPT1,87178
POLG,5428
POLG2,11232
POLRMT,5442
PPA2,27068
PPOX,5498
PTCD3,55037
PUS1,80324
QRSL1,55278
RARS2,57038
RMND1,55005
RNASEH1,246243
RRM2B,50484
RTN4IP1,84816
SACS,26278
SARS2,54938
SCO1,6341
SCO2,9997
SDHA,6389
SDHAF1,644096
SDHB,6390
SDHD,6392
SERAC1,84947
SFXN4,119559
SLC13A3,64849
SLC19A2,10560
SLC19A3,80704
SLC22A5,6584
SLC25A1,6576
SLC25A12,8604
SLC25A19,60386
SLC25A20,788
SLC25A22,79751
SLC25A24,29957
SLC25A26,115286
SLC25A3,5250
SLC25A32,81034
SLC25A36,55186
SLC25A38,54977
SLC25A4,291
SLC25A42,284439
SLC25A46,91137
SLC52A2,79581
SLC52A3,113278
SLC6A8,6535
SPG7,6687
SSBP1,6742
SUCLA2,8803
SUCLG1,8802
SURF1,6834
TACO1,51204
TAMM41,132001
TARS2,80222
TEFM,79736
TFAM,7019
TIMM50,92609
TIMM8A,1678
TIMMDC1,51300
TK2,7084
TMEM126B,55863
TMEM70,54968
TOP3A,7156
TPK1,27010
TRIT1,54802
TRMT10C,54931
TRMT5,57570
TRMU,55687
TRNT1,51095
TSFM,10102
TTC19,54902
TUFM,7284
TWNK,56652
TYMP,1890
UQCC2,84300
UQCRB,7381
UQCRC2,7385
UQCRFS1,7386
VARS2,57176
WARS2,10352
YARS2,51067
