Gene list name:,Erros Inatos do Metabolismo Herancas AD SD e X
Gene list ID:,5568
Number of genes:,118

Gene Name,NCBI ID
ABCB4,5244
ABCB7,22
ABCD1,215
ACO2,50
ADAR,103
AFG3L2,10939
AIFM1,9131
ALAS2,212
ALDH18A1,5832
ALPL,249
APOA1,335
APOA5,116519
APOB,338
APOE,348
ARSL,415
ATAD3A,55210
ATP5F1A,498
ATP5MC3,518
ATP6AP1,537
ATP7A,538
ATP8B1,5205
C19orf12,83636
CAT,847
CHCHD10,400916
CLPB,81570
CNNM2,54805
COX7B,1349
CPOX,1371
CPT2,1376
CREB3L3,84699
DNA2,1763
DNAJC5,80331
DNM1L,10059
DNM2,1785
EBP,10682
EXT1,2131
EXT2,2132
FGFR2,2263
GABRG2,2566
GARS1,2617
GCH1,2643
GDAP1,54332
GK,2710
GLA,2717
GLRA1,2741
GLUD1,2746
GNE,10020
GPHN,10243
HCCS,3052
HCFC1,3054
HMBS,3145
HPD,3242
HPRT1,3251
HSD17B10,3028
HSPD1,3329
IDH2,3418
IDS,3423
ISCU,23479
LAMP2,3920
LBR,3930
LDLR,3949
LPL,4023
MAGT1,84061
MAOA,4128
MAT1A,4143
MFN2,9927
MVK,4598
NDUFA1,4694
NDUFB11,54539
NSDHL,50814
NUS1,116150
OCRL,4952
OPA1,4976
OPA3,80207
OTC,5009
PCSK9,255738
PDHA1,5160
PDK3,5165
PEX6,5190
PGK1,5230
PHKA1,5255
PHKA2,5256
PIGA,5277
POLG,5428
POLG2,11232
PPOX,5498
PRKAG2,51422
PRPS1,5631
RBP4,5950
RPL10,6134
RRM2B,50484
SDHA,6389
SETX,23064
SLC16A1,6566
SLC25A4,291
SLC2A1,6513
SLC35A2,7355
SLC37A4,2542
SLC3A1,6519
SLC40A1,30061
SLC6A8,6535
SLC7A9,11136
SPG7,6687
SPTLC1,10558
SPTLC2,9517
SSBP1,6742
SSR4,6748
STS,412
STT3A,3703
TAFAZZIN,6901
TIMM8A,1678
TREX1,11277
TWNK,56652
UMOD,7369
UROD,7389
VKORC1,79001
WDR45,11152
WFS1,7466
