Gene list name:,Erros Inatos do Metabolismo Heranca AR
Gene list ID:,5569
Number of genes:,613

Gene Name,NCBI ID
A2M,2
AARS2,57505
AASS,10157
ABAT,18
ABCA1,19
ABCB11,8647
ABCD4,5826
ABCG5,64240
ABCG8,64241
ABHD12,26090
ABHD5,51099
ACACA,31
ACAD8,27034
ACAD9,28976
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAT1,38
ACOX1,51
ACSF3,197322
ACY1,95
ADA,100
ADSL,158
AGA,175
AGK,55750
AGL,178
AGPS,8540
AGXT,189
AHCY,191
AKR1D1,6718
ALAD,210
ALDH3B1,221
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDOA,226
ALDOB,229
ALG1,56052
ALG11,440138
ALG12,79087
ALG14,199857
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
AMACR,23600
AMN,81693
AMT,275
ANO10,55129
APOC2,344
APRT,353
APTX,54840
ARG1,383
ARSA,410
ARSB,411
ARSG,22901
ARSK,153642
ASAH1,427
ASL,435
ASPA,443
ASS1,445
ATIC,471
ATP13A2,23400
ATP5F1D,513
ATP5F1E,514
ATP5PO,539
ATP6V0A2,23545
ATP7B,540
ATPAF2,91647
AUH,549
B3GALNT2,148789
B3GALT6,126792
B3GAT3,26229
B3GLCT,145173
B4GALT1,2683
B4GALT7,11285
BAAT,570
BCAT2,587
BCKDHA,593
BCKDHB,594
BCKDK,10295
BCS1L,617
BOLA3,388962
BTD,686
C1QBP,708
C3,718
CA5A,763
CARS2,79587
CBLIF,2694
CBS,875
CHKB,1120
CHST14,113189
CHST3,9469
CHST6,4166
CHSY1,22856
CISD2,493856
CLDN16,10686
CLDN19,149461
CLN3,1201
CLN5,1203
CLN6,54982
CLN8,2055
CLPP,8192
COA6,388753
COA7,65260
COA8,84334
COG1,9382
COG4,25839
COG5,10466
COG6,57511
COG7,91949
COG8,84342
COQ2,27235
COQ6,51004
COQ7,10229
COQ8A,56997
COQ8B,79934
COQ9,57017
COX10,1352
COX14,84987
COX15,1355
COX20,116228
COX4I1,1327
COX5A,9377
COX6A1,1337
COX6B1,1340
COXFA4,4697
CP,1356
CPS1,1373
CPT1A,1374
CRLS1,54675
CRPPA,729920
CSGALNACT1,55790
CTH,1491
CTNS,1497
CTSA,5476
CTSC,1075
CTSD,1509
CTSF,8722
CTSK,1513
CUBN,8029
CYC1,1537
CYP27A1,1593
CYP7B1,9420
D2HGDH,728294
DARS1,1615
DARS2,55157
DBH,1621
DBT,1629
DCXR,51181
DDC,1644
DDOST,1650
DGUOK,1716
DHCR24,1718
DHCR7,1717
DHFR,1719
DHODH,1723
DHRSX,207063
DHTKD1,55526
DLAT,1737
DLD,1738
DNAJC12,56521
DNAJC19,131118
DOLK,22845
DPAGT1,1798
DPM1,8813
DPM2,8818
DPM3,54344
DPYD,1806
DPYS,1807
DYM,54808
EARS2,124454
ECHS1,1892
EDEM3,80267
EHBP1L1,254102
ELAC2,60528
ENO3,2027
EOGT,285203
EPG5,57724
EPM2A,7957
ETFA,2108
ETFB,2109
ETFDH,2110
ETHE1,23474
FA2H,79152
FAH,2184
FARS2,10667
FASTKD2,22868
FBP1,2203
FBXL4,26235
FCSK,197258
FDX2,112812
FDXR,2232
FECH,2235
FH,2271
FKRP,79147
FKTN,2218
FLAD1,80308
FMO3,2328
FOLR1,2348
FOXRED1,55572
FTCD,10841
FUCA1,2517
FUT8,2530
FXN,2395
G6PC1,2538
G6PC2,57818
G6PC3,92579
GAA,2548
GALC,2581
GALE,2582
GALK1,2584
GALM,130589
GALNS,2588
GALNT1,2589
GALNT2,2590
GALNT3,2591
GALT,2592
GAMT,2593
GATM,2628
GBA1,2629
GBE1,2632
GCDH,2639
GCLC,2729
GCSH,2653
GFER,2671
GFM1,85476
GFM2,84340
GFPT1,2673
GLB1,2720
GLDC,2731
GLRX5,51218
GLS,2744
GLUL,2752
GLYCTK,132158
GM2A,2760
GMPPA,29926
GMPPB,29925
GNMT,27232
GNPAT,8443
GNPTAB,79158
GNPTG,84572
GNS,2799
GORAB,92344
GPD1,2819
GPIHBP1,338328
GRHPR,9380
GRN,2896
GSS,2937
GSTZ1,2954
GTPBP3,84705
GUSB,2990
GYG1,2992
GYS1,2997
GYS2,2998
HAAO,23498
HADH,3033
HADHA,3030
HADHB,3032
HAMP,57817
HARS2,23438
HEXA,3073
HEXB,3074
HFE,3077
HGD,3081
HGSNAT,138050
HIBCH,26275
HJV,148738
HLCS,3141
HMGCL,3155
HMGCS2,3158
HOGA1,112817
HPS1,3257
HS2ST1,9653
HSD17B4,3295
HSD3B7,80270
HSPA9,3313
HTRA2,27429
HYAL1,3373
IARS2,55699
IBA57,200205
IDUA,3425
IER3IP1,51124
ISCA1,81689
ISCA2,122961
ITPA,3704
IVD,3712
KARS1,3735
KYNU,8942
L2HGDH,79944
LARGE1,9215
LARS1,51520
LARS2,23395
LCAT,3931
LCT,3938
LDHA,3939
LDLRAP1,26119
LETM1,3954
LFNG,3955
LIAS,11019
LIPA,3988
LIPT1,51601
LIPT2,387787
LMBRD1,55788
LMF1,64788
LONP1,9361
LPIN1,23175
LRPPRC,10128
LYRM4,57128
LYRM7,90624
MACO1,55219
MAN1B1,11253
MAN2B1,4125
MANBA,4126
MARS2,92935
MCEE,84693
MCOLN1,57192
MDH2,4191
MECR,51102
MFF,56947
MFSD8,256471
MGAT2,4247
MGME1,92667
MICOS13,125988
MICU1,10367
MIPEP,4285
MLYCD,23417
MMAA,166785
MMAB,326625
MMACHC,25974
MMADHC,27249
MMUT,4594
MOCS1,4337
MOCS2,4338
MOGS,7841
MPC1,51660
MPDU1,9526
MPI,4351
MPV17,4358
MRM2,29960
MRPL3,11222
MRPL44,65080
MRPS2,51116
MRPS22,56945
MRPS34,65993
MSMO1,6307
MSTO1,55154
MTFMT,123263
MTHFR,4524
MTO1,25821
MTPAP,55149
MTR,4548
MTREX,23517
MTRFR,91574
MTRR,4552
MTTP,4547
NADK2,133686
NAGA,4668
NAGLU,4669
NAGS,162417
NARS2,79731
NAXD,55739
NAXE,128240
NDUFA10,4705
NDUFA11,126328
NDUFA12,55967
NDUFA13,51079
NDUFA2,4695
NDUFA6,4700
NDUFA8,4702
NDUFA9,4704
NDUFAF1,51103
NDUFAF2,91942
NDUFAF3,25915
NDUFAF4,29078
NDUFAF5,79133
NDUFAF6,137682
NDUFAF8,284184
NDUFB10,4716
NDUFB3,4709
NDUFB8,4714
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS6,4726
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV2,4729
NEU1,4758
NFS1,9054
NFU1,27247
NGLY1,55768
NHLRC1,378884
NNT,23530
NPC1,4864
NPC2,10577
NSUN3,63899
NT5C3A,51251
NT5E,4907
NUBPL,80224
OAT,4942
OGDH,4967
OXCT1,5019
PAH,5053
PANK2,80025
PARS2,25973
PC,5091
PCBD1,5092
PCCA,5095
PCCB,5096
PCK1,5105
PDHB,5162
PDHX,8050
PDP1,54704
PDSS1,23590
PDSS2,57107
PEPD,5184
PET100,100131801
PEX1,5189
PEX10,5192
PEX11B,8799
PEX12,5193
PEX13,5194
PEX14,5195
PEX16,9409
PEX19,5824
PEX2,5828
PEX26,55670
PEX3,8504
PEX5,5830
PEX7,5191
PFKM,5213
PGAM2,5224
PGAP2,27315
PGAP3,93210
PGM1,5236
PGM3,5238
PHGDH,26227
PHKB,5257
PHKG2,5261
PHYH,5264
PIGL,9487
PIGM,93183
PIGN,23556
PIGO,84720
PIGS,94005
PIGT,51604
PIGV,55650
PIGW,284098
PINK1,65018
PLA2G6,8398
PMM2,5373
PMPCA,23203
PMPCB,9512
PNP,4860
PNPLA2,57104
PNPLA8,50640
PNPO,55163
PNPT1,87178
POMGNT1,55624
POMGNT2,84892
POMK,84197
POMT1,10585
POMT2,29954
POR,5447
PPA2,27068
PPT1,5538
PRODH,5625
PSAP,5660
PSAT1,29968
PTCD3,55037
PTS,5805
PUS1,80324
PYCR1,5831
PYGL,5836
PYGM,5837
QDPR,5860
QRSL1,55278
RARS2,57038
RBCK1,10616
RFT1,91869
RMND1,55005
RNASEH1,246243
RNASEH2A,10535
RNASEH2B,79621
RNASEH2C,84153
RPIA,22934
RTN4IP1,84816
RXYLT1,10329
SACS,26278
SAMHD1,25939
SAR1B,51128
SARS2,54938
SC5D,6309
SCO1,6341
SCO2,9997
SCP2,6342
SDHAF1,644096
SDHB,6390
SDHD,6392
SEC23B,10483
SERAC1,84947
SFXN4,119559
SGSH,6448
SHMT2,6472
SI,6476
SKIC2,6499
SKIC3,9652
SLC12A3,6559
SLC13A3,64849
SLC17A5,26503
SLC18A2,6571
SLC19A2,10560
SLC19A3,80704
SLC22A5,6584
SLC25A1,6576
SLC25A12,8604
SLC25A13,10165
SLC25A15,10166
SLC25A19,60386
SLC25A20,788
SLC25A22,79751
SLC25A26,115286
SLC25A3,5250
SLC25A32,81034
SLC25A38,54977
SLC25A42,284439
SLC25A46,91137
SLC2A2,6514
SLC30A10,55532
SLC35A1,10559
SLC35C1,55343
SLC35D1,23169
SLC39A14,23516
SLC39A4,55630
