Gene list name:,ERI_MIT
Gene list ID:,5571
Number of genes:,36

Gene Name,NCBI ID
MT-ATP6,4508
MT-ATP8,4509
MT-CO1,4512
MT-CO2,4513
MT-CO3,4514
MT-CYB,4519
MT-ND1,4535
MT-ND2,4536
MT-ND3,4537
MT-ND4,4538
MT-ND4L,4539
MT-ND5,4540
MT-ND6,4541
MT-RNR1,4549
MT-TA,4553
MT-TC,4511
MT-TD,4555
MT-TE,4556
MT-TF,4558
MT-TG,4563
MT-TH,4564
MT-TI,4565
MT-TK,4566
MT-TL1,4567
MT-TL2,4568
MT-TM,4569
MT-TN,4570
MT-TP,4571
MT-TQ,4572
MT-TR,4573
MT-TS1,4574
MT-TS2,4575
MT-TT,4576
MT-TV,4577
MT-TW,4578
MT-TY,4579
