Gene list name:,ERI_ALL_2
Gene list ID:,5572
Number of genes:,1865

Gene Name,NCBI ID
A1BG,1
AAAS,8086
AARS2,57505
AASS,10157
ABAT,18
ABCA1,19
ABCA2,20
ABCB11,8647
ABCB4,5244
ABCB7,22
ABCC9,10060
ABCD1,215
ABCD4,5826
ABCG5,64240
ABCG8,64241
ABHD12,26090
ABHD16A,7920
ABHD5,51099
ACACA,31
ACAD8,27034
ACAD9,28976
ACADM,34
ACADS,35
ACADSB,36
ACADVL,37
ACAT1,38
ACBD6,84320
ACER3,55331
ACO2,50
ACOX1,51
ACSF3,197322
ACSL4,2182
ACTB,60
ACTG1,71
ACTL6A,86
ACTL6B,51412
ACY1,95
ADA,100
ADAM22,53616
ADAR,103
ADARB1,104
ADAT3,113179
ADD1,118
ADD3,120
ADGRG1,9289
ADGRL1,22859
ADK,132
ADNP,23394
ADSL,158
AFF2,2334
AFF3,3899
AFF4,27125
AFG2A,166378
AFG2B,79029
AFG3L2,10939
AGA,175
AGK,55750
AGL,178
AGO1,26523
AGO2,27161
AGPS,8540
AGTPBP1,23287
AGXT,189
AHCY,191
AHDC1,27245
AHI1,54806
AIFM1,9131
AIMP1,9255
AKR1D1,6718
AKT3,10000
ALAD,210
ALAS2,212
ALDH18A1,5832
ALDH3A2,224
ALDH4A1,8659
ALDH5A1,7915
ALDH6A1,4329
ALDH7A1,501
ALDOA,226
ALDOB,229
ALG1,56052
ALG11,440138
ALG12,79087
ALG13,79868
ALG14,199857
ALG3,10195
ALG6,29929
ALG8,79053
ALG9,79796
ALKBH8,91801
ALMS1,7840
ALPL,249
AMACR,23600
AMER1,139285
AMN,81693
AMPD2,271
AMT,275
ANK2,287
ANK3,288
ANKRD11,29123
ANKRD17,26057
ANO10,55129
ANO4,121601
AP1G1,164
AP1S1,1174
AP1S2,8905
AP2M1,1173
AP3B1,8546
AP3B2,8120
AP4B1,10717
AP4E1,23431
AP4M1,9179
AP4S1,11154
APC2,10297
APOA1,335
APOA5,116519
APOB,338
APOC2,344
APOE,348
APRT,353
APTX,54840
ARCN1,372
ARF1,375
ARF3,377
ARFGEF1,10565
ARFGEF2,10564
ARG1,383
ARHGEF9,23229
ARID1A,8289
ARID1B,57492
ARID2,196528
ARL13B,200894
ARL6,84100
ARMC9,80210
ARSA,410
ARSB,411
ARSG,22901
ARSK,153642
ARV1,64801
ARX,170302
ASAH1,427
ASH1L,55870
ASL,435
ASNS,440
ASPA,443
ASPM,259266
ASS1,445
ASXL1,171023
ASXL2,55252
ASXL3,80816
ATAD1,84896
ATAD3A,55210
ATG7,10533
ATIC,471
ATM,472
ATN1,1822
ATP13A2,23400
ATP1A1,476
ATP1A2,477
ATP1A3,478
ATP2B1,490
ATP5F1D,513
ATP5F1E,514
ATP5PO,539
ATP6AP1,537
ATP6AP2,10159
ATP6V0A1,535
ATP6V0A2,23545
ATP6V0C,527
ATP6V1A,523
ATP6V1B2,526
ATP7A,538
ATP7B,540
ATP8A2,51761
ATP8B1,5205
ATP9A,10079
ATPAF2,91647
ATR,545
ATRX,546
ATXN7L3,56970
AUH,549
AUTS2,26053
B3GALNT2,148789
B3GALT6,126792
B3GAT3,26229
B3GLCT,145173
B4GALNT1,2583
B4GALT1,2683
B4GALT7,11285
B9D1,27077
B9D2,80776
BAAT,570
BAP1,8314
BAZ2B,29994
BBS1,582
BBS10,79738
BBS12,166379
BBS2,583
BBS4,585
BBS5,129880
BBS7,55212
BBS9,27241
BCAP31,10134
BCAS3,54828
BCAT2,587
BCKDHA,593
BCKDHB,594
BCKDK,10295
BCL11A,53335
BCL11B,64919
BCOR,54880
BCS1L,617
BICRA,29998
BLM,641
BLOC1S1,2647
BLTP1,84162
BMP4,652
BOLA3,388962
BORCS8,729991
BPTF,2186
BRAF,673
BRAT1,221927
BRD4,23476
BRF1,2972
BRPF1,7862
BRSK2,9024
BRWD3,254065
BSCL2,26580
BTD,686
BUB1,699
BUB1B,701
C12orf57,113246
C19orf12,83636
C1QBP,708
C2CD3,26005
C2orf69,205327
CA2,760
CA5A,763
CA8,767
CACNA1A,773
CACNA1B,774
CACNA1C,775
CACNA1D,776
CACNA1E,777
CACNA1G,8913
CACNA1I,8911
CACNA2D1,781
CAD,790
CAMK2A,815
CAMK2B,816
CAMK2D,817
CAMK4,814
CAMSAP1,157922
CAMTA1,23261
CAPN15,6650
CAPRIN1,4076
CARS1,833
CARS2,79587
CASK,8573
CASP2,835
CAT,847
CBL,867
CBLIF,2694
CBS,875
CC2D1A,54862
CC2D2A,57545
